match_id,stage,team_a,team_b,score_a_90,score_b_90,went_to_penalties,penalty_winner,winner_final
M73,R32,RSA,CAN,0,1,False,,CAN
M74,R32,GER,PAR,1,1,True,PAR,PAR
M75,R32,NED,MAR,1,1,True,MAR,MAR
M76,R32,BRA,JPN,2,1,False,,BRA
M77,R32,FRA,SWE,3,0,False,,FRA
M78,R32,CIV,NOR,1,2,False,,NOR
M79,R32,MEX,ECU,2,0,False,,MEX
M80,R32,ENG,COD,2,1,False,,ENG
M81,R32,USA,BIH,2,0,False,,USA
M82,R32,BEL,SEN,2,2,False,,BEL
M83,R32,POR,CRO,2,1,False,,POR
M84,R32,ESP,AUT,3,0,False,,ESP
M85,R32,SUI,ALG,2,0,False,,SUI
M86,R32,ARG,CPV,1,1,False,,ARG
M87,R32,COL,GHA,1,0,False,,COL
M88,R32,AUS,EGY,1,1,True,EGY,EGY
M89,R16,PAR,FRA,0,1,False,,FRA
M90,R16,CAN,MAR,0,3,False,,MAR
